question_id,question_description,answer_category_num,question_description_clean
1,وزير الخارجية اللبناني جبران باسيل قال في سلسلة تغريداته عقب اختتام القمة العربية التنموية الاقتصادية والاجتماعية لمسنا تج…,Religious affiliation,وزير خارجي لبناني جبران باسيل سلسله تغريد عقب اختتام قمه عربي تنموي اقتصادي اجتماع ي مس تج 
2,سورية بلد الحضارات تربطها بعلية او بحيوان,Violent,سوري بلد حضاره ربط عليه حيوان
4246,تقتلون وسام الحسن وتترحموعلية من أي أصناف المخلوقات أنتم ,Racist,قتل وسام حسن وتترحموعليه اي صنف مخلوق انتم
5304,معك خبر انو بلدة قطر متل ما سميتا مساحتها اكبر من لبنان، لك عيب بقا ارحموا اللبنانية و احترموا حالكم ,Normal,معك نوي بلد قطر متل سمي مساحه اكبر لبنان ل عيب بق ارحموا لبناني احترم حال
1706,للامانه قوت الموسم اللي طاف كان هوا بس متحمس حق الجاي لانه الاخير بيتر كول سول غير ❤ ,Normal,امانه قوت موسم ل ي طاف هوا متحمس حق الجاي ان اخير بيتر كول سول 
3982,طيب وانت بعتبر عن رأيك ماتقعد مع عيلتك شوي ,Normal,طيب انت بعتبر راي ماتقعد عيل شوي
3,اخي الحاج اذا شعرت انك محرجا من الانتقادات لتصريح جبران باسيل لا داعي لأن تهاجم المنتقدين,Violent,اخ حاج شعر ان محرج انتقاد تصريح جبران باسيل داعي ان هاجم منتقد
5591,يجب تطهير المجتمع المسيحي من الجرثومة العونيه انهم كلاب الوطن,Religious affiliation,و جب تطهير مجتمع مسيحي جرثوم العونيه ان كلب وطن
1688,اعتقد ان مارسيل غانم هو واحد حيوان,Mockery,اعتقد مارسيل غانم حيوان
3325,عيب بلا ادب ,Mockery,عيب بلا ادب
2965,عندما يأتي اليوم يحترم اللبنانيين بعضهم البعضوعندما تُستعمل المنصات لاغراض ايجابية,Normal,اتي احترم لبناني عض البعضوعندما استعمل منصه غرض ايجابي
1937,حاجتك تغريد يا سمج والله العالم قرفتك ,Mockery,حاجه تغريد يا سمج الله عالم قرف
421,انت وين امك,Violent,ين ام
7339,تخيل قديش لبنان زبالة اذا وش السحارة تبعه جيسيكا عازار,Racist,تخيل قديش لبنان زباله وش سحار ه تبع جيسيكا عازار
8123,نحتاج الى مسؤولين جدد يعملو على اعادة الوطن الى الاحلى ,Normal,احتاج مسءول جدد يعملو وطن احلي
133,الزعامة والتجربة بدن يكونوا اصحابها رجال مش صيصان خسئت يا جبران باسيل,Violent,زعامه تجربه بدن كان صاحب رجل مش صوص خسء يا جبران باسيل
47,هؤلاء الخبثاء والخنازير أينما حلو يحل بارضهم الخراب     ,Violent,خبيث خنزير اينما حلو احل ارض خراب
7397,قطر مرادف الارهاب ,Racist,قطر مرادف ارهاب
8067,أنس أزرق عادي يعمل إنترفيو مع معراج أورال بس بينطعج لمّا حدا يكتب كم بوست فيسبوك متضامن مع ضرار خطاب,Normal,انس ازرق عادي عمل انترفيو معرج ورل بينطعج ما حدا كتب بوست سب ي متضامن ضرار خطاب
3792,شو بدك في هيدا حقو دولار  كلب عميل سوري ,Violent,شو بد هيدا حقو كلب عميل سوري
8018,الله ينصر المسلمين والعرب من داعم الارهاب المجرم تميم ,Religious affiliation,الله نصر مسلم عرب داعم ارهاب مجرم تميم
7840,مي شدياق انتهت صلاحيتك بين الرجال ما عاد الك منفعة هههههه خرسي بقا حطي إيدك البلاستيك ب,Mockery,مي شدياق انتهي صلاحيه رجل ولي منفعه هههههه اخرس بق حط ايد بلاستيك
4292,احترم حالك يا شيخ والله وطات من قيمتك صرت مسخرة ودعوسة بين اجرين وأهالي الجاهلية عيب اذا ما بتعرف العيب… ,Mockery,احترم حال يا شيخ الله وطء قيمه صار مسخر ودعوسه اجري اهل جاهليه عيب تعرف عيب 
160,يلعن الأسد,Violent,لعن اسد
4250,يا كبير ماعم نشوفك عم تجيب سيرة السعودية والامارات ,Mockery,يا كبير ماعم شاف عم اجاب سير سعودي اماره
3979,اوعا تفقع او يطقلك شي عرق تروح فيها يقوم يحسبك علينا اوسكار اوعا كل شي ولا اوسكار   ,Mockery,اوعا فقع يطقلك شي عرق راح قام حسب علي اوسكار اوعا شي اوسكار
4565,للأسف الشديد تركيا على مشارف أقوى عشر اقتصاديات في العالم و قطر تحلق عالياً و تدفع المال لتحسين الوضع,Normal,اسف شديد تركيا مشرف قوي اقتصادي عالم قطر حلق عالي دفع مال تحسين وضع
767,رئيس روحي؟ تروح روحك انت وكل مين شد عمشدك مش تنعترف بدار خلدة وأميرها الصغير بالأول يا حبيب قلبه,Violent,رءيس روح راح روح كل مين شد عمشدك مش تنعترف دار خلد امير صغير اول يا قلب
3871,طول بالك بكرا بتغازل قطر مثل مااستعنت بفيديو شيخ سعودي مبارح فلا تتحمس كثير ,Normal,طول بال بكر بتغازل قطر مااستعنت فيديو شيخ سعودي مبارح لا تحمس كثير
4916,"ي القهر و الله العظيم قهر
🇸🇦🇸🇦🇵🇸 الله ينصركم يارب ياكريم. يا فلسطين",Normal,قهر الله عظيم قهر الله نصر ارب ياكريم يا فلسطين
4263,أحلامهم وكوابيسهم جبران باسيل,Normal,حلم كابوس جبران باسيل
